,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
932,Afghanistan,Asia,2015,NF,6,6,11,13,24,47.0,80.3,85.9,125.4,27.9,54.3,1669.0,6199.0,982.0,27.7,19.1,75.3,47.2,11.6,8.4,9.0,,10.0,,,,,,21.2,23.9,31.8,,,,18700.0,18700.0,554.0,-2.5,46.3,3.7,52.1,33.83,16.73,17.1,102.2,,8.3
876,Afghanistan,Asia,2018,NF,5,6,12,14,26,52.0,88.7,86.2,128.3,29.3,54.1,1983.0,6545.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Afghanistan,Asia,2019,NF,5,6,13,14,27,53.8,90.0,88.3,130.6,,,2067.0,6778.0,,,,,,,,,,7.2,,1.3,,,,,,,,,,,,,,,,,,,,,,
679,Afghanistan,Asia,2020,NF,5,6,13,14,27,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,21596.0,19983.0,513.0,-2.1,,,,,,,,,
508,Afghanistan,Asia,2021,NF,5,6,13,14,27,,,,,,,,,,27.0,,,,,,,,4.0,,,,,,,,,,,,17117.0,15161.0,378.0,-20.7,,,,,,,,,
336,Afghanistan,Asia,2022,NF,7,6,1,9,10,,,,,,,,,,27.0,,,,,,,,,,,,,,27.7,30.0,36.4,,,,16049.0,14175.0,345.0,-6.2,43.6,3.8,62.5,40.58,20.1,20.48,101.9,653.0,
0,Afghanistan,Asia,2024,NF,7,7,1,5,6,,,,,,,,,,,5.0,69.3,37.1,31.0,15.3,16.3,,,,,,,,,,,,,,,,,,42.9,3.9,65.7,42.65,21.12,21.53,102.0,,
933,Albania,Europe,2015,PF,3,3,27,40,67,105.5,108.6,111.5,115.0,91.5,105.3,175.0,188.0,140.0,20.7,47.0,64.1,55.5,17.1,17.2,17.2,5.9,2.2,0.3,1.1,3.3,243.3,5.2,,70.6,,,41.6,34.0,11387.0,11387.0,3950.0,2.2,19.0,17.7,105.8,2.9,1.46,1.43,98.0,,56.9
680,Albania,Europe,2020,PF,3,3,27,40,67,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,12516.0,15163.0,5289.0,-3.5,,,,,,,,,72.2
509,Albania,Europe,2021,PF,3,3,27,39,66,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,13657.0,17931.0,6281.0,9.1,,,,,,,,,79.3
337,Albania,Europe,2022,PF,3,3,28,39,67,91.4,98.2,92.7,98.5,91.4,101.9,124.0,154.0,103.0,35.7,,,,,,,5.4,1.7,0.1,0.1,3.2,86.5,5.9,,70.7,,,56.3,49.6,14320.0,18916.0,6655.0,4.9,17.2,22.4,103.2,2.83,1.43,1.4,97.8,29.0,82.6
172,Albania,Europe,2023,PF,3,3,28,39,67,,,,,,,,,,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Albania,Europe,2024,PF,3,3,28,40,68,,,,,,,,,,35.7,52.3,67.1,59.6,10.7,11.0,10.8,,,,,,,,,,,,,,,,,,16.8,23.5,101.9,2.79,1.41,1.38,97.8,,
934,Algeria,Africa,2015,NF,6,5,11,23,34,,,108.5,113.1,,,,3925.0,,31.6,16.2,66.3,41.7,16.6,9.9,11.2,124.1,1.4,1.3,0.4,2.4,125.4,8.5,65.9,77.0,81.5,54.1,62.4,65.8,165979.0,165979.0,4197.0,3.7,29.0,8.1,16.8,40.02,19.54,20.48,104.8,,38.2
681,Algeria,Africa,2020,NF,6,5,10,24,34,,,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,168310.0,145744.0,3354.0,-5.1,,,,,,,,,60.7
510,Algeria,Africa,2021,NF,6,5,10,22,32,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,174033.0,163473.0,3700.0,3.4,,,,,,,,,66.2
338,Algeria,Africa,2022,NF,6,5,10,22,32,,,106.9,109.8,,,,5051.0,0.0,8.1,,,,,,,39.1,1.8,0.5,0.5,3.0,,3.5,63.1,70.6,73.1,56.0,62.4,64.6,179428.0,191913.0,4274.0,3.1,30.8,9.4,19.1,45.48,22.27,23.21,104.2,2382.0,71.2
173,Algeria,Africa,2023,NF,6,5,10,22,32,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Algeria,Africa,2024,NF,6,5,10,22,32,,,,,,,,,,7.9,16.9,67.1,42.4,21.3,9.9,12.1,,,,,,,,,,,,,,,,,,30.3,10.0,19.7,46.81,22.94,23.87,104.1,,
935,Andorra,Europe,2015,F,1,1,39,57,96,92.2,97.7,88.2,89.6,91.6,83.8,3.0,4.0,1.0,50.0,,,,,,,185.4,0.0,0.0,0.0,0.0,1457.9,15.3,,90.6,,98.2,98.2,98.2,2789.0,2789.0,38870.0,1.4,15.3,17.9,153.6,0.07,0.04,0.04,102.3,,87.9
851,Andorra,Europe,2019,F,1,1,39,55,94,,,,,,,,,,,,,,,,,327.5,,0.0,,,,49.8,,,,,,,,,,,,,,,,,,,
682,Andorra,Europe,2020,F,1,1,39,55,94,,,,,,,,,,46.4,,,,,,,,2.6,,,5.0,,,,,,,,,2671.0,2891.0,37207.0,-11.2,,,,,,,,,93.2
511,Andorra,Europe,2021,F,1,1,38,55,93,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,2893.0,3325.0,42066.0,8.3,,,,,,,,,93.9
