Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",1975,Emissions (thousand metric tons of carbon dioxide),"16,042,405"
1,"Total, all countries or areas",1985,Emissions (thousand metric tons of carbon dioxide),"19,348,135"
1,"Total, all countries or areas",2005,Emissions (thousand metric tons of carbon dioxide),"26,638,238"
1,"Total, all countries or areas",2010,Emissions (thousand metric tons of carbon dioxide),"30,044,215"
1,"Total, all countries or areas",2015,Emissions (thousand metric tons of carbon dioxide),"31,468,477"
1,"Total, all countries or areas",2019,Emissions (thousand metric tons of carbon dioxide),"32,852,354"
1,"Total, all countries or areas",2020,Emissions (thousand metric tons of carbon dioxide),"31,239,043"
1,"Total, all countries or areas",2021,Emissions (thousand metric tons of carbon dioxide),"33,147,028"
1,"Total, all countries or areas",1975,Emissions per capita (Kilograms of carbon dioxide),3.9
1,"Total, all countries or areas",1985,Emissions per capita (Kilograms of carbon dioxide),4
1,"Total, all countries or areas",2005,Emissions per capita (Kilograms of carbon dioxide),4.1
1,"Total, all countries or areas",2010,Emissions per capita (Kilograms of carbon dioxide),4.3
1,"Total, all countries or areas",2015,Emissions per capita (Kilograms of carbon dioxide),4.2
1,"Total, all countries or areas",2019,Emissions per capita (Kilograms of carbon dioxide),4.2
1,"Total, all countries or areas",2020,Emissions per capita (Kilograms of carbon dioxide),4
1,"Total, all countries or areas",2021,Emissions per capita (Kilograms of carbon dioxide),4.2
2,Africa,1975,Emissions (thousand metric tons of carbon dioxide),"319,039"
2,Africa,1985,Emissions (thousand metric tons of carbon dioxide),"609,132"
2,Africa,2005,Emissions (thousand metric tons of carbon dioxide),"933,728"
2,Africa,2010,Emissions (thousand metric tons of carbon dioxide),"1,091,787"
2,Africa,2015,Emissions (thousand metric tons of carbon dioxide),"1,196,865"
2,Africa,2019,Emissions (thousand metric tons of carbon dioxide),"1,341,546"
2,Africa,2020,Emissions (thousand metric tons of carbon dioxide),"1,225,195"
2,Africa,2021,Emissions (thousand metric tons of carbon dioxide),"1,298,787"
2,Africa,1975,Emissions per capita (Kilograms of carbon dioxide),0.8
2,Africa,1985,Emissions per capita (Kilograms of carbon dioxide),1.1
2,Africa,2005,Emissions per capita (Kilograms of carbon dioxide),1
2,Africa,2010,Emissions per capita (Kilograms of carbon dioxide),1
2,Africa,2015,Emissions per capita (Kilograms of carbon dioxide),1
2,Africa,2019,Emissions per capita (Kilograms of carbon dioxide),1
2,Africa,2020,Emissions per capita (Kilograms of carbon dioxide),0.9
2,Africa,2021,Emissions per capita (Kilograms of carbon dioxide),0.9
3,North America,1975,Emissions (thousand metric tons of carbon dioxide),"4,840,300"
3,North America,1985,Emissions (thousand metric tons of carbon dioxide),"4,946,639"
3,North America,2005,Emissions (thousand metric tons of carbon dioxide),"6,315,585"
3,North America,2010,Emissions (thousand metric tons of carbon dioxide),"5,863,367"
3,North America,2015,Emissions (thousand metric tons of carbon dioxide),"5,540,715"
3,North America,2019,Emissions (thousand metric tons of carbon dioxide),"5,377,206"
3,North America,2020,Emissions (thousand metric tons of carbon dioxide),"4,824,919"
3,North America,2021,Emissions (thousand metric tons of carbon dioxide),"5,139,680"
3,North America,1975,Emissions per capita (Kilograms of carbon dioxide),20
3,North America,1985,Emissions per capita (Kilograms of carbon dioxide),18.5
3,North America,2005,Emissions per capita (Kilograms of carbon dioxide),19.2
3,North America,2010,Emissions per capita (Kilograms of carbon dioxide),17
3,North America,2015,Emissions per capita (Kilograms of carbon dioxide),15.4
3,North America,2019,Emissions per capita (Kilograms of carbon dioxide),14.5
3,North America,2020,Emissions per capita (Kilograms of carbon dioxide),12.9
3,North America,2021,Emissions per capita (Kilograms of carbon dioxide),13.7
5,South America,1975,Emissions (thousand metric tons of carbon dioxide),"609,407"
5,South America,1985,Emissions (thousand metric tons of carbon dioxide),"824,577"
5,South America,2005,Emissions (thousand metric tons of carbon dioxide),"1,382,217"
5,South America,2010,Emissions (thousand metric tons of carbon dioxide),"1,571,772"
5,South America,2015,Emissions (thousand metric tons of carbon dioxide),"1,693,344"
5,South America,2019,Emissions (thousand metric tons of carbon dioxide),"1,586,770"
5,South America,2020,Emissions (thousand metric tons of carbon dioxide),"1,425,855"
5,South America,2021,Emissions (thousand metric tons of carbon dioxide),"1,558,039"
5,South America,1975,Emissions per capita (Kilograms of carbon dioxide),1.9
5,South America,1985,Emissions per capita (Kilograms of carbon dioxide),2
5,South America,2005,Emissions per capita (Kilograms of carbon dioxide),2.5
5,South America,2010,Emissions per capita (Kilograms of carbon dioxide),2.7
5,South America,2015,Emissions per capita (Kilograms of carbon dioxide),2.7
5,South America,2019,Emissions per capita (Kilograms of carbon dioxide),2.5
5,South America,2020,Emissions per capita (Kilograms of carbon dioxide),2.2
5,South America,2021,Emissions per capita (Kilograms of carbon dioxide),2.4
142,Asia,1975,Emissions (thousand metric tons of carbon dioxide),"2,952,175"
142,Asia,1985,Emissions (thousand metric tons of carbon dioxide),"4,570,899"
142,Asia,2005,Emissions (thousand metric tons of carbon dioxide),"11,582,788"
142,Asia,2010,Emissions (thousand metric tons of carbon dioxide),"15,367,335"
142,Asia,2015,Emissions (thousand metric tons of carbon dioxide),"17,459,382"
142,Asia,2019,Emissions (thousand metric tons of carbon dioxide),"19,075,252"
142,Asia,2020,Emissions (thousand metric tons of carbon dioxide),"18,681,571"
142,Asia,2021,Emissions (thousand metric tons of carbon dioxide),"19,692,081"
142,Asia,1975,Emissions per capita (Kilograms of carbon dioxide),1.3
142,Asia,1985,Emissions per capita (Kilograms of carbon dioxide),1.6
142,Asia,2005,Emissions per capita (Kilograms of carbon dioxide),2.9
142,Asia,2010,Emissions per capita (Kilograms of carbon dioxide),3.6
142,Asia,2015,Emissions per capita (Kilograms of carbon dioxide),3.9
142,Asia,2019,Emissions per capita (Kilograms of carbon dioxide),4.1
142,Asia,2020,Emissions per capita (Kilograms of carbon dioxide),4
142,Asia,2021,Emissions per capita (Kilograms of carbon dioxide),4.2
150,Europe,1975,Emissions (thousand metric tons of carbon dioxide),"7,119,974"
150,Europe,1985,Emissions (thousand metric tons of carbon dioxide),"8,125,602"
150,Europe,2005,Emissions (thousand metric tons of carbon dioxide),"6,024,469"
150,Europe,2010,Emissions (thousand metric tons of carbon dioxide),"5,714,704"
150,Europe,2015,Emissions (thousand metric tons of carbon dioxide),"5,162,510"
150,Europe,2019,Emissions (thousand metric tons of carbon dioxide),"5,029,676"
150,Europe,2020,Emissions (thousand metric tons of carbon dioxide),"4,650,290"
150,Europe,2021,Emissions (thousand metric tons of carbon dioxide),"5,043,199"
150,Europe,1975,Emissions per capita (Kilograms of carbon dioxide),9.8
150,Europe,1985,Emissions per capita (Kilograms of carbon dioxide),10.6
150,Europe,2005,Emissions per capita (Kilograms of carbon dioxide),8.3
150,Europe,2010,Emissions per capita (Kilograms of carbon dioxide),7.8
150,Europe,2015,Emissions per capita (Kilograms of carbon dioxide),6.9
150,Europe,2019,Emissions per capita (Kilograms of carbon dioxide),6.7
150,Europe,2020,Emissions per capita (Kilograms of carbon dioxide),6.2
150,Europe,2021,Emissions per capita (Kilograms of carbon dioxide),6.7
4,Afghanistan,1975,Emissions (thousand metric tons of carbon dioxide),"1,744"
4,Afghanistan,1985,Emissions (thousand metric tons of carbon dioxide),"3,176"
4,Afghanistan,2005,Emissions (thousand metric tons of carbon dioxide),"1,920"
4,Afghanistan,2010,Emissions (thousand metric tons of carbon dioxide),"8,442"
4,Afghanistan,2015,Emissions (thousand metric tons of carbon dioxide),"9,509"
4,Afghanistan,2019,Emissions (thousand metric tons of carbon dioxide),"10,545"
4,Afghanistan,2020,Emissions (thousand metric tons of carbon dioxide),"11,251"
4,Afghanistan,2021,Emissions (thousand metric tons of carbon dioxide),"10,013"
4,Afghanistan,1975,Emissions per capita (Kilograms of carbon dioxide),0.1
4,Afghanistan,1985,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2005,Emissions per capita (Kilograms of carbon dioxide),0.1
4,Afghanistan,2010,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2015,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2019,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2020,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2021,Emissions per capita (Kilograms of carbon dioxide),0.3
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,224"
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),"7,470"
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),"4,061"
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),"4,072"
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),"3,809"
8,Albania,2019,Emissions (thousand metric tons of carbon dioxide),"3,973"
8,Albania,2020,Emissions (thousand metric tons of carbon dioxide),"3,451"
8,Albania,2021,Emissions (thousand metric tons of carbon dioxide),"3,903"
8,Albania,1975,Emissions per capita (Kilograms of carbon dioxide),1.8
8,Albania,1985,Emissions per capita (Kilograms of carbon dioxide),2.5
8,Albania,2005,Emissions per capita (Kilograms of carbon dioxide),1.3
8,Albania,2010,Emissions per capita (Kilograms of carbon dioxide),1.4
8,Albania,2015,Emissions per capita (Kilograms of carbon dioxide),1.3
8,Albania,2019,Emissions per capita (Kilograms of carbon dioxide),1.4
8,Albania,2020,Emissions per capita (Kilograms of carbon dioxide),1.2
8,Albania,2021,Emissions per capita (Kilograms of carbon dioxide),1.4
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),"16,361"
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),"52,394"
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),"91,028"
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),"95,093"
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),"126,137"
12,Algeria,2019,Emissions (thousand metric tons of carbon dioxide),"144,053"
12,Algeria,2020,Emissions (thousand metric tons of carbon dioxide),"133,590"
