Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.3
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.1
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.6
1,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.1
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.7
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.4
1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.9
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Male",9.5
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Female",2.3
1,"Total, all countries or areas",2022,"Intentional homicide rates per 100,000",5.6
1,"Total, all countries or areas",2022,"Percentage of male and female intentional homicide victims, Male",9
1,"Total, all countries or areas",2022,"Percentage of male and female intentional homicide victims, Female",2.2
2,Africa,2005,"Intentional homicide rates per 100,000",12.7
2,Africa,2005,"Percentage of male and female intentional homicide victims, Male",20.9
2,Africa,2005,"Percentage of male and female intentional homicide victims, Female",4.6
2,Africa,2010,"Intentional homicide rates per 100,000",12.2
2,Africa,2010,"Percentage of male and female intentional homicide victims, Male",19.9
2,Africa,2010,"Percentage of male and female intentional homicide victims, Female",4.6
2,Africa,2015,"Intentional homicide rates per 100,000",12.4
2,Africa,2015,"Percentage of male and female intentional homicide victims, Male",20.2
2,Africa,2015,"Percentage of male and female intentional homicide victims, Female",4.6
2,Africa,2022,"Intentional homicide rates per 100,000",12.9
2,Africa,2022,"Percentage of male and female intentional homicide victims, Male",21
2,Africa,2022,"Percentage of male and female intentional homicide victims, Female",4.8
15,Northern Africa,2005,"Intentional homicide rates per 100,000",5.3
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Male",8.6
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Female",1.9
15,Northern Africa,2010,"Intentional homicide rates per 100,000",5.7
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Male",9.4
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Female",2
15,Northern Africa,2015,"Intentional homicide rates per 100,000",5.8
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Male",9.5
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Female",2.1
15,Northern Africa,2022,"Intentional homicide rates per 100,000",6.4
15,Northern Africa,2022,"Percentage of male and female intentional homicide victims, Male",10.5
15,Northern Africa,2022,"Percentage of male and female intentional homicide victims, Female",2.3
202,Sub-Saharan Africa,2005,"Intentional homicide rates per 100,000",14.6
202,Sub-Saharan Africa,2005,"Percentage of male and female intentional homicide victims, Male",24.1
202,Sub-Saharan Africa,2005,"Percentage of male and female intentional homicide victims, Female",5.3
202,Sub-Saharan Africa,2010,"Intentional homicide rates per 100,000",13.8
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Male",22.5
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Female",5.2
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",13.9
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Male",22.8
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Female",5.2
202,Sub-Saharan Africa,2022,"Intentional homicide rates per 100,000",14.3
202,Sub-Saharan Africa,2022,"Percentage of male and female intentional homicide victims, Male",23.4
202,Sub-Saharan Africa,2022,"Percentage of male and female intentional homicide victims, Female",5.3
19,Americas,2005,"Intentional homicide rates per 100,000",14.8
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",26.7
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2
19,Americas,2010,"Intentional homicide rates per 100,000",16.6
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.2
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4
19,Americas,2015,"Intentional homicide rates per 100,000",16
19,Americas,2015,"Percentage of male and female intentional homicide victims, Male",29
19,Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3
19,Americas,2022,"Intentional homicide rates per 100,000",14.6
19,Americas,2022,"Percentage of male and female intentional homicide victims, Male",26.2
19,Americas,2022,"Percentage of male and female intentional homicide victims, Female",3.3
21,Northern America,2005,"Intentional homicide rates per 100,000",5.4
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.5
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3
21,Northern America,2010,"Intentional homicide rates per 100,000",4.4
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",7
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",2
21,Northern America,2015,"Intentional homicide rates per 100,000",4.6
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Male",7.3
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Female",1.9
21,Northern America,2022,"Intentional homicide rates per 100,000",6
21,Northern America,2022,"Percentage of male and female intentional homicide victims, Male",9.4
21,Northern America,2022,"Percentage of male and female intentional homicide victims, Female",2.6
419,Latin America & the Caribbean,2005,"Intentional homicide rates per 100,000",20.4
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Male",37.4
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Female",3.7
