Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,36.9
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male and Female,21.2
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male and Female,42.8
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male,36.5
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male,23.9
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male,39.6
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Female,35.4
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Female,17.1
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Female,47.5
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male and Female,32.7
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male and Female,22.6
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male and Female,44.7
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male,33.3
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male,25.9
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male,40.8
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Female,31.6
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Female,17.7
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Female,50.6
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male and Female,28.4
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male and Female,23.3
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male and Female,48.3
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male,29.2
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male,27.1
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male,43.8
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Female,27.3
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Female,17.5
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Female,55.2
1,"Total, all countries or areas",2022,Employment by industry: Agriculture (%) Male and Female,26.2
1,"Total, all countries or areas",2022,Employment by industry: Industry (%) Male and Female,24
1,"Total, all countries or areas",2022,Employment by industry: Services (%) Male and Female,49.8
1,"Total, all countries or areas",2022,Employment by industry: Agriculture (%) Male,26.7
1,"Total, all countries or areas",2022,Employment by industry: Industry (%) Male,28.4
1,"Total, all countries or areas",2022,Employment by industry: Services (%) Male,44.9
1,"Total, all countries or areas",2022,Employment by industry: Agriculture (%) Female,25.4
1,"Total, all countries or areas",2022,Employment by industry: Industry (%) Female,17.2
1,"Total, all countries or areas",2022,Employment by industry: Services (%) Female,57.3
2,Africa,2005,Employment by industry: Agriculture (%) Male and Female,56.1
2,Africa,2005,Employment by industry: Industry (%) Male and Female,12.1
2,Africa,2005,Employment by industry: Services (%) Male and Female,31.8
2,Africa,2005,Employment by industry: Agriculture (%) Male,52.6
2,Africa,2005,Employment by industry: Industry (%) Male,15.2
2,Africa,2005,Employment by industry: Services (%) Male,32.2
2,Africa,2005,Employment by industry: Agriculture (%) Female,60.8
2,Africa,2005,Employment by industry: Industry (%) Female,8
2,Africa,2005,Employment by industry: Services (%) Female,31.2
2,Africa,2010,Employment by industry: Agriculture (%) Male and Female,52.7
2,Africa,2010,Employment by industry: Industry (%) Male and Female,12.4
2,Africa,2010,Employment by industry: Services (%) Male and Female,34.9
2,Africa,2010,Employment by industry: Agriculture (%) Male,49.8
2,Africa,2010,Employment by industry: Industry (%) Male,15.7
2,Africa,2010,Employment by industry: Services (%) Male,34.5
2,Africa,2010,Employment by industry: Agriculture (%) Female,56.6
2,Africa,2010,Employment by industry: Industry (%) Female,7.9
2,Africa,2010,Employment by industry: Services (%) Female,35.5
2,Africa,2015,Employment by industry: Agriculture (%) Male and Female,49.7
2,Africa,2015,Employment by industry: Industry (%) Male and Female,13
2,Africa,2015,Employment by industry: Services (%) Male and Female,37.3
2,Africa,2015,Employment by industry: Agriculture (%) Male,47.5
2,Africa,2015,Employment by industry: Industry (%) Male,16.3
2,Africa,2015,Employment by industry: Services (%) Male,36.1
2,Africa,2015,Employment by industry: Agriculture (%) Female,52.6
2,Africa,2015,Employment by industry: Industry (%) Female,8.5
2,Africa,2015,Employment by industry: Services (%) Female,38.9
2,Africa,2022,Employment by industry: Agriculture (%) Male and Female,47.8
2,Africa,2022,Employment by industry: Industry (%) Male and Female,13.5
2,Africa,2022,Employment by industry: Services (%) Male and Female,38.8
2,Africa,2022,Employment by industry: Agriculture (%) Male,46.2
2,Africa,2022,Employment by industry: Industry (%) Male,17.2
2,Africa,2022,Employment by industry: Services (%) Male,36.6
2,Africa,2022,Employment by industry: Agriculture (%) Female,49.9
2,Africa,2022,Employment by industry: Industry (%) Female,8.4
2,Africa,2022,Employment by industry: Services (%) Female,41.7
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male and Female,32.9
15,Northern Africa,2005,Employment by industry: Industry (%) Male and Female,22
15,Northern Africa,2005,Employment by industry: Services (%) Male and Female,45.1
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male,29.4
15,Northern Africa,2005,Employment by industry: Industry (%) Male,24.6
15,Northern Africa,2005,Employment by industry: Services (%) Male,45.9
15,Northern Africa,2005,Employment by industry: Agriculture (%) Female,45.5
15,Northern Africa,2005,Employment by industry: Industry (%) Female,12.6
15,Northern Africa,2005,Employment by industry: Services (%) Female,41.9
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male and Female,28.9
15,Northern Africa,2010,Employment by industry: Industry (%) Male and Female,24.7
15,Northern Africa,2010,Employment by industry: Services (%) Male and Female,46.4
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male,25.4
15,Northern Africa,2010,Employment by industry: Industry (%) Male,28.3
15,Northern Africa,2010,Employment by industry: Services (%) Male,46.3
15,Northern Africa,2010,Employment by industry: Agriculture (%) Female,41.8
15,Northern Africa,2010,Employment by industry: Industry (%) Female,11.4
15,Northern Africa,2010,Employment by industry: Services (%) Female,46.7
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male and Female,26.2
15,Northern Africa,2015,Employment by industry: Industry (%) Male and Female,24.5
15,Northern Africa,2015,Employment by industry: Services (%) Male and Female,49.3
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male,22.9
15,Northern Africa,2015,Employment by industry: Industry (%) Male,28.4
15,Northern Africa,2015,Employment by industry: Services (%) Male,48.7
15,Northern Africa,2015,Employment by industry: Agriculture (%) Female,37.5
15,Northern Africa,2015,Employment by industry: Industry (%) Female,11.2
15,Northern Africa,2015,Employment by industry: Services (%) Female,51.4
15,Northern Africa,2022,Employment by industry: Agriculture (%) Male and Female,22.1
15,Northern Africa,2022,Employment by industry: Industry (%) Male and Female,26
15,Northern Africa,2022,Employment by industry: Services (%) Male and Female,52
15,Northern Africa,2022,Employment by industry: Agriculture (%) Male,20.9
15,Northern Africa,2022,Employment by industry: Industry (%) Male,29.4
15,Northern Africa,2022,Employment by industry: Services (%) Male,49.7
15,Northern Africa,2022,Employment by industry: Agriculture (%) Female,26.8
15,Northern Africa,2022,Employment by industry: Industry (%) Female,12.1
15,Northern Africa,2022,Employment by industry: Services (%) Female,61
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male and Female,60.5
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male and Female,10.2
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male and Female,29.3
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male,59.1
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male,12.6
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male,28.4
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Female,62.1
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Female,7.6
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Female,30.3
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male and Female,57.3
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male and Female,10
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male and Female,32.7
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male,56.8
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male,12.1
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male,31.1
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Female,58
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Female,7.6
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Female,34.5
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male and Female,53.8
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male and Female,10.9
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male and Female,35.2
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male,53.8
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male,13.3
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male,32.9
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Female,53.8
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Female,8.3
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Female,37.9
202,Sub-Saharan Africa,2022,Employment by industry: Agriculture (%) Male and Female,52
202,Sub-Saharan Africa,2022,Employment by industry: Industry (%) Male and Female,11.4
202,Sub-Saharan Africa,2022,Employment by industry: Services (%) Male and Female,36.6
202,Sub-Saharan Africa,2022,Employment by industry: Agriculture (%) Male,52.4
202,Sub-Saharan Africa,2022,Employment by industry: Industry (%) Male,14.2
202,Sub-Saharan Africa,2022,Employment by industry: Services (%) Male,33.4
202,Sub-Saharan Africa,2022,Employment by industry: Agriculture (%) Female,51.5
202,Sub-Saharan Africa,2022,Employment by industry: Industry (%) Female,8.1
202,Sub-Saharan Africa,2022,Employment by industry: Services (%) Female,40.3
14,Eastern Africa,2005,Employment by industry: Agriculture (%) Male and Female,71.6
14,Eastern Africa,2005,Employment by industry: Industry (%) Male and Female,7.3
14,Eastern Africa,2005,Employment by industry: Services (%) Male and Female,21.1
14,Eastern Africa,2005,Employment by industry: Agriculture (%) Male,68.6
14,Eastern Africa,2005,Employment by industry: Industry (%) Male,9.2
14,Eastern Africa,2005,Employment by industry: Services (%) Male,22.2
14,Eastern Africa,2005,Employment by industry: Agriculture (%) Female,74.8
14,Eastern Africa,2005,Employment by industry: Industry (%) Female,5.2
14,Eastern Africa,2005,Employment by industry: Services (%) Female,19.9
14,Eastern Africa,2010,Employment by industry: Agriculture (%) Male and Female,67.7
14,Eastern Africa,2010,Employment by industry: Industry (%) Male and Female,8.1
14,Eastern Africa,2010,Employment by industry: Services (%) Male and Female,24.2
14,Eastern Africa,2010,Employment by industry: Agriculture (%) Male,65.5
14,Eastern Africa,2010,Employment by industry: Industry (%) Male,10.3
14,Eastern Africa,2010,Employment by industry: Services (%) Male,24.2
14,Eastern Africa,2010,Employment by industry: Agriculture (%) Female,70
14,Eastern Africa,2010,Employment by industry: Industry (%) Female,5.7
14,Eastern Africa,2010,Employment by industry: Services (%) Female,24.3
14,Eastern Africa,2015,Employment by industry: Agriculture (%) Male and Female,64.4
14,Eastern Africa,2015,Employment by industry: Industry (%) Male and Female,8.8
14,Eastern Africa,2015,Employment by industry: Services (%) Male and Female,26.8
14,Eastern Africa,2015,Employment by industry: Agriculture (%) Male,62.9
