Region/Country/Area,Country/Region Name,Year,Series,Value
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,290,901"
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,816,593"
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,633,612"
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"75,440,153"
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),"85,483,570"
1,"Total, all countries or areas",2021,GDP in current prices (millions of US dollars),"97,329,051"
1,"Total, all countries or areas",2022,GDP in current prices (millions of US dollars),"100,834,796"
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,450"
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,293"
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,541"
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,161"
1,"Total, all countries or areas",2020,GDP per capita (US dollars),"10,905"
1,"Total, all countries or areas",2021,GDP per capita (US dollars),"12,309"
1,"Total, all countries or areas",2022,GDP per capita (US dollars),"12,647"
1,"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),"40,338,168"
1,"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),"56,485,238"
1,"Total, all countries or areas",2010,GDP in constant 2015 prices (millions of US dollars),"64,936,404"
1,"Total, all countries or areas",2015,GDP in constant 2015 prices (millions of US dollars),"75,440,153"
1,"Total, all countries or areas",2020,GDP in constant 2015 prices (millions of US dollars),"82,306,867"
1,"Total, all countries or areas",2021,GDP in constant 2015 prices (millions of US dollars),"87,439,828"
1,"Total, all countries or areas",2022,GDP in constant 2015 prices (millions of US dollars),"90,126,325"
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),4
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.5
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),3.1
1,"Total, all countries or areas",2020,GDP real rates of growth (percent),-2.9
1,"Total, all countries or areas",2021,GDP real rates of growth (percent),6.2
1,"Total, all countries or areas",2022,GDP real rates of growth (percent),3.1
2,Africa,1995,GDP in current prices (millions of US dollars),"604,665"
2,Africa,2005,GDP in current prices (millions of US dollars),"1,171,085"
2,Africa,2010,GDP in current prices (millions of US dollars),"2,033,221"
2,Africa,2015,GDP in current prices (millions of US dollars),"2,409,648"
2,Africa,2020,GDP in current prices (millions of US dollars),"2,447,535"
2,Africa,2021,GDP in current prices (millions of US dollars),"2,734,236"
2,Africa,2022,GDP in current prices (millions of US dollars),"2,870,757"
2,Africa,1995,GDP per capita (US dollars),836
2,Africa,2005,GDP per capita (US dollars),"1,264"
2,Africa,2010,GDP per capita (US dollars),"1,930"
2,Africa,2015,GDP per capita (US dollars),"2,009"
2,Africa,2020,GDP per capita (US dollars),"1,801"
2,Africa,2021,GDP per capita (US dollars),"1,964"
2,Africa,2022,GDP per capita (US dollars),"2,015"
2,Africa,1995,GDP in constant 2015 prices (millions of US dollars),"984,617"
2,Africa,2005,GDP in constant 2015 prices (millions of US dollars),"1,534,059"
2,Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,995,795"
2,Africa,2015,GDP in constant 2015 prices (millions of US dollars),"2,409,648"
2,Africa,2020,GDP in constant 2015 prices (millions of US dollars),"2,635,713"
2,Africa,2021,GDP in constant 2015 prices (millions of US dollars),"2,777,729"
2,Africa,2022,GDP in constant 2015 prices (millions of US dollars),"2,875,884"
2,Africa,1995,GDP real rates of growth (percent),2.8
2,Africa,2005,GDP real rates of growth (percent),6.2
2,Africa,2010,GDP real rates of growth (percent),5.9
2,Africa,2015,GDP real rates of growth (percent),3.4
2,Africa,2020,GDP real rates of growth (percent),-2.4
2,Africa,2021,GDP real rates of growth (percent),5.4
2,Africa,2022,GDP real rates of growth (percent),3.5
15,Northern Africa,1995,GDP in current prices (millions of US dollars),"207,392"
15,Northern Africa,2005,GDP in current prices (millions of US dollars),"376,507"
15,Northern Africa,2010,GDP in current prices (millions of US dollars),"646,437"
15,Northern Africa,2015,GDP in current prices (millions of US dollars),"772,568"
15,Northern Africa,2020,GDP in current prices (millions of US dollars),"762,299"
15,Northern Africa,2021,GDP in current prices (millions of US dollars),"852,083"
15,Northern Africa,2022,GDP in current prices (millions of US dollars),"855,580"
15,Northern Africa,1995,GDP per capita (US dollars),"1,281"
15,Northern Africa,2005,GDP per capita (US dollars),"1,922"
15,Northern Africa,2010,GDP per capita (US dollars),"3,127"
15,Northern Africa,2015,GDP per capita (US dollars),"3,390"
15,Northern Africa,2020,GDP per capita (US dollars),"3,039"
15,Northern Africa,2021,GDP per capita (US dollars),"3,339"
15,Northern Africa,2022,GDP per capita (US dollars),"3,298"
15,Northern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"354,910"
15,Northern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"557,673"
15,Northern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"700,055"
15,Northern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"772,568"
15,Northern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"869,168"
15,Northern Africa,2021,GDP in constant 2015 prices (millions of US dollars),"932,388"
15,Northern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"959,918"
15,Northern Africa,1995,GDP real rates of growth (percent),2
15,Northern Africa,2005,GDP real rates of growth (percent),6
15,Northern Africa,2010,GDP real rates of growth (percent),5
15,Northern Africa,2015,GDP real rates of growth (percent),3.7
15,Northern Africa,2020,GDP real rates of growth (percent),-3.3
15,Northern Africa,2021,GDP real rates of growth (percent),7.3
15,Northern Africa,2022,GDP real rates of growth (percent),3
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),"397,273"
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),"794,578"
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),"1,386,785"
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),"1,637,080"
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),"1,685,236"
202,Sub-Saharan Africa,2021,GDP in current prices (millions of US dollars),"1,882,153"
202,Sub-Saharan Africa,2022,GDP in current prices (millions of US dollars),"2,015,177"
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),708
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),"1,088"
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),"1,637"
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),"1,685"
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),"1,521"
202,Sub-Saharan Africa,2021,GDP per capita (US dollars),"1,656"
202,Sub-Saharan Africa,2022,GDP per capita (US dollars),"1,729"
202,Sub-Saharan Africa,1995,GDP in constant 2015 prices (millions of US dollars),"629,707"
202,Sub-Saharan Africa,2005,GDP in constant 2015 prices (millions of US dollars),"976,386"
202,Sub-Saharan Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,295,740"
202,Sub-Saharan Africa,2015,GDP in constant 2015 prices (millions of US dollars),"1,637,080"
202,Sub-Saharan Africa,2020,GDP in constant 2015 prices (millions of US dollars),"1,766,545"
202,Sub-Saharan Africa,2021,GDP in constant 2015 prices (millions of US dollars),"1,845,341"
202,Sub-Saharan Africa,2022,GDP in constant 2015 prices (millions of US dollars),"1,915,966"
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.4
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-1.9
202,Sub-Saharan Africa,2021,GDP real rates of growth (percent),4.5
202,Sub-Saharan Africa,2022,GDP real rates of growth (percent),3.8
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"71,188"
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"117,409"
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"235,948"
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"330,690"
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),"425,948"
14,Eastern Africa,2021,GDP in current prices (millions of US dollars),"460,290"
14,Eastern Africa,2022,GDP in current prices (millions of US dollars),"512,915"
14,Eastern Africa,1995,GDP per capita (US dollars),326
14,Eastern Africa,2005,GDP per capita (US dollars),407
14,Eastern Africa,2010,GDP per capita (US dollars),691
14,Eastern Africa,2015,GDP per capita (US dollars),843
14,Eastern Africa,2020,GDP per capita (US dollars),951
14,Eastern Africa,2021,GDP per capita (US dollars),"1,001"
14,Eastern Africa,2022,GDP per capita (US dollars),"1,087"
14,Eastern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"110,361"
14,Eastern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"165,872"
14,Eastern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"244,330"
14,Eastern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"330,690"
14,Eastern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"410,573"
14,Eastern Africa,2021,GDP in constant 2015 prices (millions of US dollars),"433,454"
14,Eastern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"455,154"
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4
14,Eastern Africa,2010,GDP real rates of growth (percent),9.4
14,Eastern Africa,2015,GDP real rates of growth (percent),6.2
14,Eastern Africa,2020,GDP real rates of growth (percent),0.4
14,Eastern Africa,2021,GDP real rates of growth (percent),5.6
14,Eastern Africa,2022,GDP real rates of growth (percent),5
17,Middle Africa,1995,GDP in current prices (millions of US dollars),"37,554"
17,Middle Africa,2005,GDP in current prices (millions of US dollars),"101,403"
17,Middle Africa,2010,GDP in current prices (millions of US dollars),"191,153"
17,Middle Africa,2015,GDP in current prices (millions of US dollars),"242,684"
17,Middle Africa,2020,GDP in current prices (millions of US dollars),"195,536"
17,Middle Africa,2021,GDP in current prices (millions of US dollars),"234,765"
17,Middle Africa,2022,GDP in current prices (millions of US dollars),"287,184"
17,Middle Africa,1995,GDP per capita (US dollars),441
17,Middle Africa,2005,GDP per capita (US dollars),892
17,Middle Africa,2010,GDP per capita (US dollars),"1,431"
17,Middle Africa,2015,GDP per capita (US dollars),"1,542"
17,Middle Africa,2020,GDP per capita (US dollars),"1,059"
17,Middle Africa,2021,GDP per capita (US dollars),"1,234"
17,Middle Africa,2022,GDP per capita (US dollars),"1,465"
17,Middle Africa,1995,GDP in constant 2015 prices (millions of US dollars),"85,635"
17,Middle Africa,2005,GDP in constant 2015 prices (millions of US dollars),"140,505"
17,Middle Africa,2010,GDP in constant 2015 prices (millions of US dollars),"192,186"
17,Middle Africa,2015,GDP in constant 2015 prices (millions of US dollars),"242,684"
17,Middle Africa,2020,GDP in constant 2015 prices (millions of US dollars),"239,188"
17,Middle Africa,2021,GDP in constant 2015 prices (millions of US dollars),"244,752"
17,Middle Africa,2022,GDP in constant 2015 prices (millions of US dollars),"254,834"
17,Middle Africa,1995,GDP real rates of growth (percent),6.7
17,Middle Africa,2005,GDP real rates of growth (percent),9.2
17,Middle Africa,2010,GDP real rates of growth (percent),4.8
17,Middle Africa,2015,GDP real rates of growth (percent),2.2
17,Middle Africa,2020,GDP real rates of growth (percent),-2.9
17,Middle Africa,2021,GDP real rates of growth (percent),2.3
17,Middle Africa,2022,GDP real rates of growth (percent),4.1
18,Southern Africa,1995,GDP in current prices (millions of US dollars),"183,240"
18,Southern Africa,2005,GDP in current prices (millions of US dollars),"310,532"
18,Southern Africa,2010,GDP in current prices (millions of US dollars),"448,120"
18,Southern Africa,2015,GDP in current prices (millions of US dollars),"377,771"
18,Southern Africa,2020,GDP in current prices (millions of US dollars),"369,839"
18,Southern Africa,2021,GDP in current prices (millions of US dollars),"458,451"
18,Southern Africa,2022,GDP in current prices (millions of US dollars),"444,845"
18,Southern Africa,1995,GDP per capita (US dollars),"3,663"
18,Southern Africa,2005,GDP per capita (US dollars),"5,553"
18,Southern Africa,2010,GDP per capita (US dollars),"7,583"
18,Southern Africa,2015,GDP per capita (US dollars),"5,929"
18,Southern Africa,2020,GDP per capita (US dollars),"5,498"
18,Southern Africa,2021,GDP per capita (US dollars),"6,743"
18,Southern Africa,2022,GDP per capita (US dollars),"6,485"
18,Southern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"207,820"
18,Southern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"289,208"
18,Southern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"337,096"
18,Southern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"377,771"
18,Southern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"369,421"
18,Southern Africa,2021,GDP in constant 2015 prices (millions of US dollars),"387,810"
18,Southern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"395,964"
18,Southern Africa,1995,GDP real rates of growth (percent),3.3
18,Southern Africa,2005,GDP real rates of growth (percent),5.2
18,Southern Africa,2010,GDP real rates of growth (percent),3.4
18,Southern Africa,2015,GDP real rates of growth (percent),1.2
18,Southern Africa,2020,GDP real rates of growth (percent),-6.1
18,Southern Africa,2021,GDP real rates of growth (percent),5
