Region/Country/Area,Country/Region Name,Year,Series,Value
1,"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",13.3
1,"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",15.9
1,"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",19.0
1,"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",22.3
1,"Total, all countries or areas",2020,"Seats held by women in national parliament, as of February (%)",24.9
1,"Total, all countries or areas",2021,"Seats held by women in national parliament, as of February (%)",25.6
1,"Total, all countries or areas",2022,"Seats held by women in national parliament, as of February (%)",26.2
1,"Total, all countries or areas",2023,"Seats held by women in national parliament, as of February (%)",26.5
1,"Total, all countries or areas",2024,"Seats held by women in national parliament, as of February (%)",26.9
15,Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",5.4
15,Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",10.8
15,Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",13.2
15,Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",24.6
15,Northern Africa,2020,"Seats held by women in national parliament, as of February (%)",20.1
15,Northern Africa,2021,"Seats held by women in national parliament, as of February (%)",24.3
15,Northern Africa,2022,"Seats held by women in national parliament, as of February (%)",21.2
15,Northern Africa,2023,"Seats held by women in national parliament, as of February (%)",20.4
15,Northern Africa,2024,"Seats held by women in national parliament, as of February (%)",20.0
202,Sub-Saharan Africa,2000,"Seats held by women in national parliament, as of February (%)",11.5
202,Sub-Saharan Africa,2005,"Seats held by women in national parliament, as of February (%)",14.4
202,Sub-Saharan Africa,2010,"Seats held by women in national parliament, as of February (%)",18.4
202,Sub-Saharan Africa,2015,"Seats held by women in national parliament, as of February (%)",22.6
202,Sub-Saharan Africa,2020,"Seats held by women in national parliament, as of February (%)",24.3
202,Sub-Saharan Africa,2021,"Seats held by women in national parliament, as of February (%)",24.9
202,Sub-Saharan Africa,2022,"Seats held by women in national parliament, as of February (%)",26.0
202,Sub-Saharan Africa,2023,"Seats held by women in national parliament, as of February (%)",26.5
202,Sub-Saharan Africa,2024,"Seats held by women in national parliament, as of February (%)",27.1
14,Eastern Africa,2000,"Seats held by women in national parliament, as of February (%)",11.9
14,Eastern Africa,2005,"Seats held by women in national parliament, as of February (%)",16.6
14,Eastern Africa,2010,"Seats held by women in national parliament, as of February (%)",21.6
14,Eastern Africa,2015,"Seats held by women in national parliament, as of February (%)",27.2
14,Eastern Africa,2020,"Seats held by women in national parliament, as of February (%)",30.9
14,Eastern Africa,2021,"Seats held by women in national parliament, as of February (%)",31.2
14,Eastern Africa,2022,"Seats held by women in national parliament, as of February (%)",31.7
14,Eastern Africa,2023,"Seats held by women in national parliament, as of February (%)",31.5
14,Eastern Africa,2024,"Seats held by women in national parliament, as of February (%)",31.4
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",8.6
17,Middle Africa,2005,"Seats held by women in national parliament, as of February (%)",11.2
17,Middle Africa,2010,"Seats held by women in national parliament, as of February (%)",13.5
17,Middle Africa,2015,"Seats held by women in national parliament, as of February (%)",18.1
17,Middle Africa,2020,"Seats held by women in national parliament, as of February (%)",17.6
17,Middle Africa,2021,"Seats held by women in national parliament, as of February (%)",18.4
17,Middle Africa,2022,"Seats held by women in national parliament, as of February (%)",19.7
17,Middle Africa,2023,"Seats held by women in national parliament, as of February (%)",20.8
17,Middle Africa,2024,"Seats held by women in national parliament, as of February (%)",22.4
18,Southern Africa,2000,"Seats held by women in national parliament, as of February (%)",22.5
18,Southern Africa,2005,"Seats held by women in national parliament, as of February (%)",24.6
18,Southern Africa,2010,"Seats held by women in national parliament, as of February (%)",33.4
18,Southern Africa,2015,"Seats held by women in national parliament, as of February (%)",33.4
18,Southern Africa,2020,"Seats held by women in national parliament, as of February (%)",35.6
18,Southern Africa,2021,"Seats held by women in national parliament, as of February (%)",35.6
18,Southern Africa,2022,"Seats held by women in national parliament, as of February (%)",36.6
18,Southern Africa,2023,"Seats held by women in national parliament, as of February (%)",36.9
18,Southern Africa,2024,"Seats held by women in national parliament, as of February (%)",37.2
11,Western Africa,2000,"Seats held by women in national parliament, as of February (%)",8.2
11,Western Africa,2005,"Seats held by women in national parliament, as of February (%)",10.2
11,Western Africa,2010,"Seats held by women in national parliament, as of February (%)",11.6
11,Western Africa,2015,"Seats held by women in national parliament, as of February (%)",14.5
11,Western Africa,2020,"Seats held by women in national parliament, as of February (%)",14.8
11,Western Africa,2021,"Seats held by women in national parliament, as of February (%)",15.9
11,Western Africa,2022,"Seats held by women in national parliament, as of February (%)",17.0
11,Western Africa,2023,"Seats held by women in national parliament, as of February (%)",18.5
11,Western Africa,2024,"Seats held by women in national parliament, as of February (%)",19.5
21,Northern America,2000,"Seats held by women in national parliament, as of February (%)",16.3
21,Northern America,2005,"Seats held by women in national parliament, as of February (%)",17.5
21,Northern America,2010,"Seats held by women in national parliament, as of February (%)",19.0
21,Northern America,2015,"Seats held by women in national parliament, as of February (%)",21.8
21,Northern America,2020,"Seats held by women in national parliament, as of February (%)",25.9
21,Northern America,2021,"Seats held by women in national parliament, as of February (%)",28.3
21,Northern America,2022,"Seats held by women in national parliament, as of February (%)",28.9
21,Northern America,2023,"Seats held by women in national parliament, as of February (%)",30.0
21,Northern America,2024,"Seats held by women in national parliament, as of February (%)",29.7
419,Latin America & the Caribbean,2000,"Seats held by women in national parliament, as of February (%)",15.2
419,Latin America & the Caribbean,2005,"Seats held by women in national parliament, as of February (%)",19.0
419,Latin America & the Caribbean,2010,"Seats held by women in national parliament, as of February (%)",22.7
419,Latin America & the Caribbean,2015,"Seats held by women in national parliament, as of February (%)",27.4
419,Latin America & the Caribbean,2020,"Seats held by women in national parliament, as of February (%)",32.1
419,Latin America & the Caribbean,2021,"Seats held by women in national parliament, as of February (%)",33.0
419,Latin America & the Caribbean,2022,"Seats held by women in national parliament, as of February (%)",34.9
419,Latin America & the Caribbean,2023,"Seats held by women in national parliament, as of February (%)",35.8
419,Latin America & the Caribbean,2024,"Seats held by women in national parliament, as of February (%)",35.8
29,Caribbean,2000,"Seats held by women in national parliament, as of February (%)",20.6
29,Caribbean,2005,"Seats held by women in national parliament, as of February (%)",26.0
29,Caribbean,2010,"Seats held by women in national parliament, as of February (%)",29.4
29,Caribbean,2015,"Seats held by women in national parliament, as of February (%)",33.1
29,Caribbean,2020,"Seats held by women in national parliament, as of February (%)",36.7
29,Caribbean,2021,"Seats held by women in national parliament, as of February (%)",40.8
29,Caribbean,2022,"Seats held by women in national parliament, as of February (%)",40.9
29,Caribbean,2023,"Seats held by women in national parliament, as of February (%)",41.1
29,Caribbean,2024,"Seats held by women in national parliament, as of February (%)",40.7
13,Central America,2000,"Seats held by women in national parliament, as of February (%)",14.3
13,Central America,2005,"Seats held by women in national parliament, as of February (%)",17.4
13,Central America,2010,"Seats held by women in national parliament, as of February (%)",21.6
13,Central America,2015,"Seats held by women in national parliament, as of February (%)",30.1
13,Central America,2020,"Seats held by women in national parliament, as of February (%)",36.9
13,Central America,2021,"Seats held by women in national parliament, as of February (%)",37.1
13,Central America,2022,"Seats held by women in national parliament, as of February (%)",38.4
13,Central America,2023,"Seats held by women in national parliament, as of February (%)",38.7
13,Central America,2024,"Seats held by women in national parliament, as of February (%)",39.0
5,South America,2000,"Seats held by women in national parliament, as of February (%)",12.5
