Region/Country/Area,,Year,Series,Value
4,Afghanistan,2005,Current health expenditure (% of GDP),9.9
4,Afghanistan,2010,Current health expenditure (% of GDP),8.6
4,Afghanistan,2015,Current health expenditure (% of GDP),10.1
4,Afghanistan,2019,Current health expenditure (% of GDP),14.8
4,Afghanistan,2020,Current health expenditure (% of GDP),15.5
4,Afghanistan,2021,Current health expenditure (% of GDP),21.8
4,Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.4
4,Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.3
4,Afghanistan,2015,Domestic general government health expenditure (% of total government expenditure),2
4,Afghanistan,2019,Domestic general government health expenditure (% of total government expenditure),1.8
4,Afghanistan,2020,Domestic general government health expenditure (% of total government expenditure),4.2
4,Afghanistan,2021,Domestic general government health expenditure (% of total government expenditure),4.1
8,Albania,2005,Current health expenditure (% of GDP),5.7
8,Albania,2010,Current health expenditure (% of GDP),6.2
8,Albania,2015,Current health expenditure (% of GDP),6.5
8,Albania,2019,Current health expenditure (% of GDP),6.9
8,Albania,2020,Current health expenditure (% of GDP),7.5
8,Albania,2021,Current health expenditure (% of GDP),7.3
8,Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.3
8,Albania,2010,Domestic general government health expenditure (% of total government expenditure),8.1
8,Albania,2015,Domestic general government health expenditure (% of total government expenditure),8.8
8,Albania,2019,Domestic general government health expenditure (% of total government expenditure),10.1
8,Albania,2020,Domestic general government health expenditure (% of total government expenditure),9.2
8,Albania,2021,Domestic general government health expenditure (% of total government expenditure),9.1
12,Algeria,2005,Current health expenditure (% of GDP),3.2
12,Algeria,2010,Current health expenditure (% of GDP),5.1
12,Algeria,2015,Current health expenditure (% of GDP),7
12,Algeria,2019,Current health expenditure (% of GDP),5.9
12,Algeria,2020,Current health expenditure (% of GDP),6.1
12,Algeria,2021,Current health expenditure (% of GDP),5.5
12,Algeria,2005,Domestic general government health expenditure (% of total government expenditure),7.8
12,Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.2
12,Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.6
12,Algeria,2019,Domestic general government health expenditure (% of total government expenditure),8.8
12,Algeria,2020,Domestic general government health expenditure (% of total government expenditure),8.8
12,Algeria,2021,Domestic general government health expenditure (% of total government expenditure),8.8
20,Andorra,2005,Current health expenditure (% of GDP),5.6
20,Andorra,2010,Current health expenditure (% of GDP),7.7
20,Andorra,2015,Current health expenditure (% of GDP),6.9
20,Andorra,2019,Current health expenditure (% of GDP),7.3
20,Andorra,2020,Current health expenditure (% of GDP),8.8
20,Andorra,2021,Current health expenditure (% of GDP),8.3
20,Andorra,2005,Domestic general government health expenditure (% of total government expenditure),18.8
20,Andorra,2010,Domestic general government health expenditure (% of total government expenditure),24.5
20,Andorra,2015,Domestic general government health expenditure (% of total government expenditure),15.8
20,Andorra,2019,Domestic general government health expenditure (% of total government expenditure),14.6
20,Andorra,2020,Domestic general government health expenditure (% of total government expenditure),14.7
20,Andorra,2021,Domestic general government health expenditure (% of total government expenditure),15.7
24,Angola,2005,Current health expenditure (% of GDP),2.9
24,Angola,2010,Current health expenditure (% of GDP),2.7
24,Angola,2015,Current health expenditure (% of GDP),2.6
24,Angola,2019,Current health expenditure (% of GDP),2.5
24,Angola,2020,Current health expenditure (% of GDP),3.2
24,Angola,2021,Current health expenditure (% of GDP),3
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2
24,Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.6
24,Angola,2019,Domestic general government health expenditure (% of total government expenditure),5.5
24,Angola,2020,Domestic general government health expenditure (% of total government expenditure),7.3
24,Angola,2021,Domestic general government health expenditure (% of total government expenditure),8.8
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),5
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.4
28,Antigua and Barbuda,2015,Current health expenditure (% of GDP),5.3
28,Antigua and Barbuda,2019,Current health expenditure (% of GDP),4.4
28,Antigua and Barbuda,2020,Current health expenditure (% of GDP),5.9
28,Antigua and Barbuda,2021,Current health expenditure (% of GDP),5.9
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.5
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.9
28,Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),11.8
28,Antigua and Barbuda,2019,Domestic general government health expenditure (% of total government expenditure),11.3
28,Antigua and Barbuda,2020,Domestic general government health expenditure (% of total government expenditure),13.8
28,Antigua and Barbuda,2021,Domestic general government health expenditure (% of total government expenditure),15.5
32,Argentina,2005,Current health expenditure (% of GDP),7.6
32,Argentina,2010,Current health expenditure (% of GDP),9.4
32,Argentina,2015,Current health expenditure (% of GDP),10.2
32,Argentina,2019,Current health expenditure (% of GDP),10
32,Argentina,2020,Current health expenditure (% of GDP),10.3
32,Argentina,2021,Current health expenditure (% of GDP),9.7
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.7
32,Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.5
32,Argentina,2019,Domestic general government health expenditure (% of total government expenditure),16.1
32,Argentina,2020,Domestic general government health expenditure (% of total government expenditure),15.7
32,Argentina,2021,Domestic general government health expenditure (% of total government expenditure),16.2
51,Armenia,2005,Current health expenditure (% of GDP),5.9
51,Armenia,2010,Current health expenditure (% of GDP),9.2
51,Armenia,2015,Current health expenditure (% of GDP),10.1
51,Armenia,2019,Current health expenditure (% of GDP),11.4
51,Armenia,2020,Current health expenditure (% of GDP),12.2
51,Armenia,2021,Current health expenditure (% of GDP),12.3
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4
51,Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1
51,Armenia,2019,Domestic general government health expenditure (% of total government expenditure),5.7
51,Armenia,2020,Domestic general government health expenditure (% of total government expenditure),7.7
51,Armenia,2021,Domestic general government health expenditure (% of total government expenditure),7.6
36,Australia,2005,Current health expenditure (% of GDP),8
36,Australia,2010,Current health expenditure (% of GDP),8.4
36,Australia,2015,Current health expenditure (% of GDP),10.2
36,Australia,2019,Current health expenditure (% of GDP),10.2
36,Australia,2020,Current health expenditure (% of GDP),10.7
36,Australia,2021,Current health expenditure (% of GDP),10.5
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),15.9
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.1
36,Australia,2015,Domestic general government health expenditure (% of total government expenditure),18.3
36,Australia,2019,Domestic general government health expenditure (% of total government expenditure),17.1
36,Australia,2020,Domestic general government health expenditure (% of total government expenditure),17.1
36,Australia,2021,Domestic general government health expenditure (% of total government expenditure),19.3
40,Austria,2005,Current health expenditure (% of GDP),9.6
40,Austria,2010,Current health expenditure (% of GDP),10.2
40,Austria,2015,Current health expenditure (% of GDP),10.4
40,Austria,2019,Current health expenditure (% of GDP),10.5
40,Austria,2020,Current health expenditure (% of GDP),11.4
40,Austria,2021,Current health expenditure (% of GDP),12.1
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.7
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14
40,Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.7
40,Austria,2019,Domestic general government health expenditure (% of total government expenditure),16.1
40,Austria,2020,Domestic general government health expenditure (% of total government expenditure),15.4
40,Austria,2021,Domestic general government health expenditure (% of total government expenditure),16.9
31,Azerbaijan,2005,Current health expenditure (% of GDP),2.2
31,Azerbaijan,2010,Current health expenditure (% of GDP),2.6
31,Azerbaijan,2015,Current health expenditure (% of GDP),4.3
31,Azerbaijan,2019,Current health expenditure (% of GDP),4.2
31,Azerbaijan,2020,Current health expenditure (% of GDP),5.8
31,Azerbaijan,2021,Current health expenditure (% of GDP),4.7
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.2
31,Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.4
31,Azerbaijan,2019,Domestic general government health expenditure (% of total government expenditure),3.3
31,Azerbaijan,2020,Domestic general government health expenditure (% of total government expenditure),5.8
31,Azerbaijan,2021,Domestic general government health expenditure (% of total government expenditure),4.6
44,Bahamas,2005,Current health expenditure (% of GDP),4
44,Bahamas,2010,Current health expenditure (% of GDP),5.3
44,Bahamas,2015,Current health expenditure (% of GDP),5.2
44,Bahamas,2019,Current health expenditure (% of GDP),5.8
44,Bahamas,2020,Current health expenditure (% of GDP),7.6
44,Bahamas,2021,Current health expenditure (% of GDP),7.1
44,Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),12.9
44,Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),15.4
44,Bahamas,2015,Domestic general government health expenditure (% of total government expenditure),12.8
44,Bahamas,2019,Domestic general government health expenditure (% of total government expenditure),15
44,Bahamas,2020,Domestic general government health expenditure (% of total government expenditure),15.4
44,Bahamas,2021,Domestic general government health expenditure (% of total government expenditure),13.8
48,Bahrain,2005,Current health expenditure (% of GDP),3.3
48,Bahrain,2010,Current health expenditure (% of GDP),4.1
48,Bahrain,2015,Current health expenditure (% of GDP),5
48,Bahrain,2019,Current health expenditure (% of GDP),4
48,Bahrain,2020,Current health expenditure (% of GDP),4.7
48,Bahrain,2021,Current health expenditure (% of GDP),4.3
48,Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),9.1
48,Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.2
48,Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.9
48,Bahrain,2019,Domestic general government health expenditure (% of total government expenditure),7.1
48,Bahrain,2020,Domestic general government health expenditure (% of total government expenditure),8.7
48,Bahrain,2021,Domestic general government health expenditure (% of total government expenditure),8.7
