Region/Country/Area,Country/Region Name,Year,Series,Value
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),"191,446,828"
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),3
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.9
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),"220,983,187"
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.2
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.1
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),"247,958,644"
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.4
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.3
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),"15,097,633"
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)","2,343,919"
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),"40,518,150"
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),"57,959,702"
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (number),"280,598,105"
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (% total population),3.6
1,"Total, all countries or areas",2020,International migrant stock: Male (% total Population),3.7
1,"Total, all countries or areas",2020,International migrant stock: Female (% total Population),3.5
1,"Total, all countries or areas",2020,Total refugees and people in refugee-like situations (number),"20,677,233"
1,"Total, all countries or areas",2020,"Asylum seekers, including pending cases (number)","4,177,842"
1,"Total, all countries or areas",2020,Other of concern to UNHCR (number),"58,976,407"
1,"Total, all countries or areas",2020,Total population of concern to UNHCR (number),"83,831,482"
1,"Total, all countries or areas",2023,Total refugees and people in refugee-like situations (number),"30,510,633"
1,"Total, all countries or areas",2023,"Asylum seekers, including pending cases (number)","6,081,121"
1,"Total, all countries or areas",2023,Other of concern to UNHCR (number),"75,562,061"
1,"Total, all countries or areas",2023,Total population of concern to UNHCR (number),"110,826,287"
2,Africa,2005,International migrant stock: Both sexes (number),"16,040,087"
2,Africa,2005,International migrant stock: Both sexes (% total population),1.8
2,Africa,2005,International migrant stock: Male (% total Population),1.9
2,Africa,2005,International migrant stock: Female (% total Population),1.6
2,Africa,2010,International migrant stock: Both sexes (number),"17,806,677"
2,Africa,2010,International migrant stock: Both sexes (% total population),1.7
2,Africa,2010,International migrant stock: Male (% total Population),1.8
2,Africa,2010,International migrant stock: Female (% total Population),1.6
2,Africa,2015,International migrant stock: Both sexes (number),"22,860,792"
2,Africa,2015,International migrant stock: Both sexes (% total population),1.9
2,Africa,2015,International migrant stock: Male (% total Population),2.1
2,Africa,2015,International migrant stock: Female (% total Population),1.8
2,Africa,2015,Total refugees and people in refugee-like situations (number),"4,493,139"
2,Africa,2015,"Asylum seekers, including pending cases (number)","1,044,031"
2,Africa,2015,Other of concern to UNHCR (number),"11,530,138"
2,Africa,2015,Total population of concern to UNHCR (number),"17,067,308"
2,Africa,2020,International migrant stock: Both sexes (number),"25,389,464"
2,Africa,2020,International migrant stock: Both sexes (% total population),1.9
2,Africa,2020,International migrant stock: Male (% total Population),2
2,Africa,2020,International migrant stock: Female (% total Population),1.8
2,Africa,2020,Total refugees and people in refugee-like situations (number),"6,999,300"
2,Africa,2020,"Asylum seekers, including pending cases (number)","617,584"
2,Africa,2020,Other of concern to UNHCR (number),"24,919,267"
2,Africa,2020,Total population of concern to UNHCR (number),"32,536,151"
2,Africa,2022,Total refugees and people in refugee-like situations (number),"7,583,303"
2,Africa,2022,"Asylum seekers, including pending cases (number)","681,702"
2,Africa,2022,Other of concern to UNHCR (number),"29,072,940"
