Region/Country/Area,Country/Region Name,Year,Series,Value
1,"Total, all countries or areas",2000,Percentage of individuals using the internet,5.3
1,"Total, all countries or areas",2005,Percentage of individuals using the internet,15.6
1,"Total, all countries or areas",2010,Percentage of individuals using the internet,28.5
1,"Total, all countries or areas",2015,Percentage of individuals using the internet,39.9
1,"Total, all countries or areas",2020,Percentage of individuals using the internet,59.3
1,"Total, all countries or areas",2021,Percentage of individuals using the internet,62.2
1,"Total, all countries or areas",2022,Percentage of individuals using the internet,64.4
15,Northern Africa,2000,Percentage of individuals using the internet,0.6
15,Northern Africa,2005,Percentage of individuals using the internet,9.7
15,Northern Africa,2010,Percentage of individuals using the internet,23.2
15,Northern Africa,2015,Percentage of individuals using the internet,36.6
15,Northern Africa,2020,Percentage of individuals using the internet,63.9
15,Northern Africa,2021,Percentage of individuals using the internet,65.8
15,Northern Africa,2022,Percentage of individuals using the internet,67.3
202,Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.9
202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.0
202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.0
202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,15.6
202,Sub-Saharan Africa,2020,Percentage of individuals using the internet,28.8
202,Sub-Saharan Africa,2021,Percentage of individuals using the internet,31.6
202,Sub-Saharan Africa,2022,Percentage of individuals using the internet,33.8
14,Eastern Africa,2000,Percentage of individuals using the internet,0.6
14,Eastern Africa,2005,Percentage of individuals using the internet,1.2
14,Eastern Africa,2010,Percentage of individuals using the internet,3.2
14,Eastern Africa,2015,Percentage of individuals using the internet,10.5
14,Eastern Africa,2020,Percentage of individuals using the internet,20.0
14,Eastern Africa,2021,Percentage of individuals using the internet,23.4
14,Eastern Africa,2022,Percentage of individuals using the internet,26.0
17,Middle Africa,2000,Percentage of individuals using the internet,0.3
17,Middle Africa,2005,Percentage of individuals using the internet,0.7
17,Middle Africa,2010,Percentage of individuals using the internet,2.1
17,Middle Africa,2015,Percentage of individuals using the internet,10.0
17,Middle Africa,2020,Percentage of individuals using the internet,25.7
17,Middle Africa,2021,Percentage of individuals using the internet,29.9
17,Middle Africa,2022,Percentage of individuals using the internet,31.3
18,Southern Africa,2000,Percentage of individuals using the internet,4.9
