Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",2010,Population annual rate of increase (percent),1.3
1,"Total, all countries or areas",2010,Total fertility rate (children per women),2.6
1,"Total, all countries or areas",2010,"Under five mortality rate for both sexes (per 1,000 live births)",51.6
1,"Total, all countries or areas",2010,"Maternal mortality ratio (deaths per 100,000 population)",254
1,"Total, all countries or areas",2010,Life expectancy at birth for both sexes (years),70.1
1,"Total, all countries or areas",2010,Life expectancy at birth for males (years),67.6
1,"Total, all countries or areas",2010,Life expectancy at birth for females (years),72.7
1,"Total, all countries or areas",2015,Population annual rate of increase (percent),1.2
1,"Total, all countries or areas",2015,Total fertility rate (children per women),2.5
1,"Total, all countries or areas",2015,"Under five mortality rate for both sexes (per 1,000 live births)",43.6
1,"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",227
1,"Total, all countries or areas",2015,Life expectancy at birth for both sexes (years),71.6
1,"Total, all countries or areas",2015,Life expectancy at birth for males (years),69.1
1,"Total, all countries or areas",2015,Life expectancy at birth for females (years),74.2
1,"Total, all countries or areas",2020,Population annual rate of increase (percent),0.9
1,"Total, all countries or areas",2020,Total fertility rate (children per women),2.3
1,"Total, all countries or areas",2020,"Under five mortality rate for both sexes (per 1,000 live births)",38.3
1,"Total, all countries or areas",2020,"Maternal mortality ratio (deaths per 100,000 population)",223
1,"Total, all countries or areas",2020,Life expectancy at birth for both sexes (years),71.9
1,"Total, all countries or areas",2020,Life expectancy at birth for males (years),69.3
1,"Total, all countries or areas",2020,Life expectancy at birth for females (years),74.7
1,"Total, all countries or areas",2024,Population annual rate of increase (percent),0.9
1,"Total, all countries or areas",2024,Total fertility rate (children per women),2.2
1,"Total, all countries or areas",2024,"Under five mortality rate for both sexes (per 1,000 live births)",36
1,"Total, all countries or areas",2024,Life expectancy at birth for both sexes (years),73.3
1,"Total, all countries or areas",2024,Life expectancy at birth for males (years),70.7
1,"Total, all countries or areas",2024,Life expectancy at birth for females (years),76
2,Africa,2010,Population annual rate of increase (percent),2.6
2,Africa,2010,Total fertility rate (children per women),4.9
2,Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",93.9
2,Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",593
2,Africa,2010,Life expectancy at birth for both sexes (years),58.8
2,Africa,2010,Life expectancy at birth for males (years),57.2
2,Africa,2010,Life expectancy at birth for females (years),60.3
2,Africa,2015,Population annual rate of increase (percent),2.6
2,Africa,2015,Total fertility rate (children per women),4.6
2,Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",81
2,Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",526
2,Africa,2015,Life expectancy at birth for both sexes (years),60.8
2,Africa,2015,Life expectancy at birth for males (years),59.1
2,Africa,2015,Life expectancy at birth for females (years),62.6
2,Africa,2020,Population annual rate of increase (percent),2.4
2,Africa,2020,Total fertility rate (children per women),4.2
2,Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",69
2,Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",487
2,Africa,2020,Life expectancy at birth for both sexes (years),62.3
2,Africa,2020,Life expectancy at birth for males (years),60.2
2,Africa,2020,Life expectancy at birth for females (years),64.3
2,Africa,2024,Population annual rate of increase (percent),2.3
2,Africa,2024,Total fertility rate (children per women),4
2,Africa,2024,"Under five mortality rate for both sexes (per 1,000 live births)",62.4
2,Africa,2024,Life expectancy at birth for both sexes (years),64
2,Africa,2024,Life expectancy at birth for males (years),62
2,Africa,2024,Life expectancy at birth for females (years),66.1
15,Northern Africa,2010,Population annual rate of increase (percent),1.8
15,Northern Africa,2010,Total fertility rate (children per women),3.3
15,Northern Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",39.1
15,Northern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",144
15,Northern Africa,2010,Life expectancy at birth for both sexes (years),69.3
15,Northern Africa,2010,Life expectancy at birth for males (years),67.3
15,Northern Africa,2010,Life expectancy at birth for females (years),71.4
15,Northern Africa,2015,Population annual rate of increase (percent),2
15,Northern Africa,2015,Total fertility rate (children per women),3.4
15,Northern Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",32.6
15,Northern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",109
15,Northern Africa,2015,Life expectancy at birth for both sexes (years),70.5
