Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",1995,Primary energy production (petajoules),"381,716"
1,"Total, all countries or areas",2000,Primary energy production (petajoules),"412,282"
1,"Total, all countries or areas",2005,Primary energy production (petajoules),"477,690"
1,"Total, all countries or areas",2010,Primary energy production (petajoules),"530,871"
1,"Total, all countries or areas",2015,Primary energy production (petajoules),"569,646"
1,"Total, all countries or areas",2019,Primary energy production (petajoules),"613,709"
1,"Total, all countries or areas",2020,Primary energy production (petajoules),"589,086"
1,"Total, all countries or areas",2021,Primary energy production (petajoules),"609,909"
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,762"
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,016"
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,205"
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,365"
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,297"
1,"Total, all countries or areas",2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-21,031"
1,"Total, all countries or areas",2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,193"
1,"Total, all countries or areas",2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,230"
1,"Total, all countries or areas",1995,Changes in stocks (petajoules),299
1,"Total, all countries or areas",2000,Changes in stocks (petajoules),"-2,938"
1,"Total, all countries or areas",2005,Changes in stocks (petajoules),-215
1,"Total, all countries or areas",2010,Changes in stocks (petajoules),-10
1,"Total, all countries or areas",2015,Changes in stocks (petajoules),"2,408"
1,"Total, all countries or areas",2019,Changes in stocks (petajoules),"5,604"
1,"Total, all countries or areas",2020,Changes in stocks (petajoules),"3,038"
1,"Total, all countries or areas",2021,Changes in stocks (petajoules),"-3,488"
1,"Total, all countries or areas",1995,Total supply (petajoules),"372,655"
1,"Total, all countries or areas",2000,Total supply (petajoules),"405,205"
1,"Total, all countries or areas",2005,Total supply (petajoules),"463,700"
1,"Total, all countries or areas",2010,Total supply (petajoules),"517,517"
1,"Total, all countries or areas",2015,Total supply (petajoules),"547,941"
1,"Total, all countries or areas",2019,Total supply (petajoules),"587,074"
1,"Total, all countries or areas",2020,Total supply (petajoules),"567,854"
1,"Total, all countries or areas",2021,Total supply (petajoules),"599,167"
1,"Total, all countries or areas",1995,Supply per capita (gigajoules),65
1,"Total, all countries or areas",2000,Supply per capita (gigajoules),66
1,"Total, all countries or areas",2005,Supply per capita (gigajoules),71
1,"Total, all countries or areas",2010,Supply per capita (gigajoules),74
1,"Total, all countries or areas",2015,Supply per capita (gigajoules),74
1,"Total, all countries or areas",2019,Supply per capita (gigajoules),76
1,"Total, all countries or areas",2020,Supply per capita (gigajoules),72
1,"Total, all countries or areas",2021,Supply per capita (gigajoules),76
2,Africa,1995,Primary energy production (petajoules),"32,012"
2,Africa,2000,Primary energy production (petajoules),"36,588"
2,Africa,2005,Primary energy production (petajoules),"45,038"
2,Africa,2010,Primary energy production (petajoules),"47,649"
2,Africa,2015,Primary energy production (petajoules),"44,817"
2,Africa,2019,Primary energy production (petajoules),"48,473"
2,Africa,2020,Primary energy production (petajoules),"44,240"
2,Africa,2021,Primary energy production (petajoules),"46,089"
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,024"
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,607"
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,494"
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,371"
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,336"
2,Africa,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,382"
2,Africa,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,472"
2,Africa,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,774"
2,Africa,1995,Changes in stocks (petajoules),321
2,Africa,2000,Changes in stocks (petajoules),-18
2,Africa,2005,Changes in stocks (petajoules),7
2,Africa,2010,Changes in stocks (petajoules),-38
2,Africa,2015,Changes in stocks (petajoules),-13
2,Africa,2019,Changes in stocks (petajoules),148
2,Africa,2020,Changes in stocks (petajoules),69
2,Africa,2021,Changes in stocks (petajoules),49
2,Africa,1995,Total supply (petajoules),"18,667"
2,Africa,2000,Total supply (petajoules),"20,999"
2,Africa,2005,Total supply (petajoules),"24,537"
2,Africa,2010,Total supply (petajoules),"28,316"
2,Africa,2015,Total supply (petajoules),"31,494"
2,Africa,2019,Total supply (petajoules),"34,943"
2,Africa,2020,Total supply (petajoules),"33,698"
2,Africa,2021,Total supply (petajoules),"35,266"
2,Africa,1995,Supply per capita (gigajoules),26
2,Africa,2000,Supply per capita (gigajoules),26
2,Africa,2005,Supply per capita (gigajoules),26
2,Africa,2010,Supply per capita (gigajoules),27
2,Africa,2015,Supply per capita (gigajoules),26
2,Africa,2019,Supply per capita (gigajoules),26
2,Africa,2020,Supply per capita (gigajoules),25
2,Africa,2021,Supply per capita (gigajoules),25
21,Northern America,1995,Primary energy production (petajoules),"84,137"
21,Northern America,2000,Primary energy production (petajoules),"85,354"
21,Northern America,2005,Primary energy production (petajoules),"85,241"
21,Northern America,2010,Primary energy production (petajoules),"88,892"
21,Northern America,2015,Primary energy production (petajoules),"104,243"
21,Northern America,2019,Primary energy production (petajoules),"119,083"
21,Northern America,2020,Primary energy production (petajoules),"112,135"
21,Northern America,2021,Primary energy production (petajoules),"115,363"
21,Northern America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"11,407"
21,Northern America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"18,134"
21,Northern America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"23,181"
21,Northern America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"14,211"
21,Northern America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"1,037"
21,Northern America,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,726"
21,Northern America,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,274"
21,Northern America,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,748"
21,Northern America,1995,Changes in stocks (petajoules),-912
21,Northern America,2000,Changes in stocks (petajoules),"-2,335"
21,Northern America,2005,Changes in stocks (petajoules),-144
21,Northern America,2010,Changes in stocks (petajoules),-591
21,Northern America,2015,Changes in stocks (petajoules),"2,244"
21,Northern America,2019,Changes in stocks (petajoules),966
21,Northern America,2020,Changes in stocks (petajoules),587
21,Northern America,2021,Changes in stocks (petajoules),"-2,265"
21,Northern America,1995,Total supply (petajoules),"96,456"
21,Northern America,2000,Total supply (petajoules),"105,824"
21,Northern America,2005,Total supply (petajoules),"108,567"
21,Northern America,2010,Total supply (petajoules),"103,694"
21,Northern America,2015,Total supply (petajoules),"103,038"
21,Northern America,2019,Total supply (petajoules),"105,390"
21,Northern America,2020,Total supply (petajoules),"97,274"
21,Northern America,2021,Total supply (petajoules),"101,881"
21,Northern America,1995,Supply per capita (gigajoules),327
21,Northern America,2000,Supply per capita (gigajoules),338
21,Northern America,2005,Supply per capita (gigajoules),330
21,Northern America,2010,Supply per capita (gigajoules),300
21,Northern America,2015,Supply per capita (gigajoules),286
21,Northern America,2019,Supply per capita (gigajoules),283
21,Northern America,2020,Supply per capita (gigajoules),260
21,Northern America,2021,Supply per capita (gigajoules),271
419,Latin America & the Caribbean,1995,Primary energy production (petajoules),"30,187"
419,Latin America & the Caribbean,2000,Primary energy production (petajoules),"35,371"
419,Latin America & the Caribbean,2005,Primary energy production (petajoules),"40,887"
419,Latin America & the Caribbean,2010,Primary energy production (petajoules),"41,800"
419,Latin America & the Caribbean,2015,Primary energy production (petajoules),"42,357"
419,Latin America & the Caribbean,2019,Primary energy production (petajoules),"38,088"
419,Latin America & the Caribbean,2020,Primary energy production (petajoules),"35,753"
419,Latin America & the Caribbean,2021,Primary energy production (petajoules),"36,074"
419,Latin America & the Caribbean,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,911"
419,Latin America & the Caribbean,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,753"
419,Latin America & the Caribbean,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,769"
419,Latin America & the Caribbean,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,792"
419,Latin America & the Caribbean,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,937"
419,Latin America & the Caribbean,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,384"
419,Latin America & the Caribbean,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,304"
419,Latin America & the Caribbean,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,746"
419,Latin America & the Caribbean,1995,Changes in stocks (petajoules),-13
419,Latin America & the Caribbean,2000,Changes in stocks (petajoules),91
419,Latin America & the Caribbean,2005,Changes in stocks (petajoules),-260
419,Latin America & the Caribbean,2010,Changes in stocks (petajoules),-114
419,Latin America & the Caribbean,2015,Changes in stocks (petajoules),-64
419,Latin America & the Caribbean,2019,Changes in stocks (petajoules),-82
419,Latin America & the Caribbean,2020,Changes in stocks (petajoules),"-1,056"
419,Latin America & the Caribbean,2021,Changes in stocks (petajoules),-472
419,Latin America & the Caribbean,1995,Total supply (petajoules),"22,290"
419,Latin America & the Caribbean,2000,Total supply (petajoules),"25,527"
419,Latin America & the Caribbean,2005,Total supply (petajoules),"29,376"
419,Latin America & the Caribbean,2010,Total supply (petajoules),"33,123"
419,Latin America & the Caribbean,2015,Total supply (petajoules),"35,484"
419,Latin America & the Caribbean,2019,Total supply (petajoules),"34,786"
419,Latin America & the Caribbean,2020,Total supply (petajoules),"32,505"
419,Latin America & the Caribbean,2021,Total supply (petajoules),"34,798"
419,Latin America & the Caribbean,1995,Supply per capita (gigajoules),46
419,Latin America & the Caribbean,2000,Supply per capita (gigajoules),49
419,Latin America & the Caribbean,2005,Supply per capita (gigajoules),53
419,Latin America & the Caribbean,2010,Supply per capita (gigajoules),56
419,Latin America & the Caribbean,2015,Supply per capita (gigajoules),57
419,Latin America & the Caribbean,2019,Supply per capita (gigajoules),54
419,Latin America & the Caribbean,2020,Supply per capita (gigajoules),50
419,Latin America & the Caribbean,2021,Supply per capita (gigajoules),53
142,Asia,1995,Primary energy production (petajoules),"133,074"
142,Asia,2000,Primary energy production (petajoules),"149,308"
142,Asia,2005,Primary energy production (petajoules),"191,193"
142,Asia,2010,Primary energy production (petajoules),"235,303"
142,Asia,2015,Primary energy production (petajoules),"259,494"
142,Asia,2019,Primary energy production (petajoules),"280,782"
142,Asia,2020,Primary energy production (petajoules),"275,223"
142,Asia,2021,Primary energy production (petajoules),"287,716"
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,654"
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,408"
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,203"
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),300
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"8,031"
142,Asia,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"20,873"
142,Asia,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"25,206"
142,Asia,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"26,263"
142,Asia,1995,Changes in stocks (petajoules),680
142,Asia,2000,Changes in stocks (petajoules),-713
142,Asia,2005,Changes in stocks (petajoules),-364
142,Asia,2010,Changes in stocks (petajoules),"1,653"
142,Asia,2015,Changes in stocks (petajoules),-12
142,Asia,2019,Changes in stocks (petajoules),"2,754"
142,Asia,2020,Changes in stocks (petajoules),"4,019"
142,Asia,2021,Changes in stocks (petajoules),"1,611"
142,Asia,1995,Total supply (petajoules),"123,739"
142,Asia,2000,Total supply (petajoules),"140,614"
142,Asia,2005,Total supply (petajoules),"182,354"
142,Asia,2010,Total supply (petajoules),"233,950"
142,Asia,2015,Total supply (petajoules),"267,537"
142,Asia,2019,Total supply (petajoules),"298,901"
142,Asia,2020,Total supply (petajoules),"296,410"
142,Asia,2021,Total supply (petajoules),"312,368"
142,Asia,1995,Supply per capita (gigajoules),36
142,Asia,2000,Supply per capita (gigajoules),38
142,Asia,2005,Supply per capita (gigajoules),46
142,Asia,2010,Supply per capita (gigajoules),55
142,Asia,2015,Supply per capita (gigajoules),60
142,Asia,2019,Supply per capita (gigajoules),65
142,Asia,2020,Supply per capita (gigajoules),64
142,Asia,2021,Supply per capita (gigajoules),67
150,Europe,1995,Primary energy production (petajoules),"93,640"
150,Europe,2000,Primary energy production (petajoules),"95,013"
150,Europe,2005,Primary energy production (petajoules),"103,079"
150,Europe,2010,Primary energy production (petajoules),"102,698"
150,Europe,2015,Primary energy production (petajoules),"101,351"
150,Europe,2019,Primary energy production (petajoules),"107,279"
150,Europe,2020,Primary energy production (petajoules),"101,439"
150,Europe,2021,Primary energy production (petajoules),"105,492"
150,Europe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"13,190"
150,Europe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"11,986"
150,Europe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"10,597"
150,Europe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"8,039"
150,Europe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"2,613"
150,Europe,2019,Net imports [Imports - Exports - Bunkers] (petajoules),563
150,Europe,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,053"
150,Europe,2021,Net imports [Imports - Exports - Bunkers] (petajoules),281
150,Europe,1995,Changes in stocks (petajoules),120
150,Europe,2000,Changes in stocks (petajoules),269
150,Europe,2005,Changes in stocks (petajoules),582
150,Europe,2010,Changes in stocks (petajoules),"-1,202"
150,Europe,2015,Changes in stocks (petajoules),185
150,Europe,2019,Changes in stocks (petajoules),"1,768"
150,Europe,2020,Changes in stocks (petajoules),-653
150,Europe,2021,Changes in stocks (petajoules),"-2,302"
150,Europe,1995,Total supply (petajoules),"106,710"
150,Europe,2000,Total supply (petajoules),"106,729"
150,Europe,2005,Total supply (petajoules),"113,093"
150,Europe,2010,Total supply (petajoules),"111,938"
150,Europe,2015,Total supply (petajoules),"103,779"
150,Europe,2019,Total supply (petajoules),"106,074"
150,Europe,2020,Total supply (petajoules),"101,039"
150,Europe,2021,Total supply (petajoules),"108,076"
150,Europe,1995,Supply per capita (gigajoules),147
150,Europe,2000,Supply per capita (gigajoules),147
150,Europe,2005,Supply per capita (gigajoules),155
150,Europe,2010,Supply per capita (gigajoules),152
150,Europe,2015,Supply per capita (gigajoules),139
150,Europe,2019,Supply per capita (gigajoules),142
150,Europe,2020,Supply per capita (gigajoules),135
150,Europe,2021,Supply per capita (gigajoules),145
9,Oceania,1995,Primary energy production (petajoules),"8,665"
9,Oceania,2000,Primary energy production (petajoules),"10,647"
9,Oceania,2005,Primary energy production (petajoules),"12,251"
9,Oceania,2010,Primary energy production (petajoules),"14,528"
9,Oceania,2015,Primary energy production (petajoules),"17,383"
9,Oceania,2019,Primary energy production (petajoules),"20,004"
9,Oceania,2020,Primary energy production (petajoules),"20,297"
9,Oceania,2021,Primary energy production (petajoules),"19,175"
9,Oceania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,770"
9,Oceania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,368"
9,Oceania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,516"
9,Oceania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,751"
9,Oceania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,707"
9,Oceania,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,974"
9,Oceania,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,298"
9,Oceania,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,505"
9,Oceania,1995,Changes in stocks (petajoules),103
9,Oceania,2000,Changes in stocks (petajoules),-233
9,Oceania,2005,Changes in stocks (petajoules),-37
9,Oceania,2010,Changes in stocks (petajoules),281
9,Oceania,2015,Changes in stocks (petajoules),68
9,Oceania,2019,Changes in stocks (petajoules),50
9,Oceania,2020,Changes in stocks (petajoules),72
9,Oceania,2021,Changes in stocks (petajoules),-109
9,Oceania,1995,Total supply (petajoules),"4,793"
9,Oceania,2000,Total supply (petajoules),"5,512"
9,Oceania,2005,Total supply (petajoules),"5,773"
9,Oceania,2010,Total supply (petajoules),"6,496"
9,Oceania,2015,Total supply (petajoules),"6,608"
9,Oceania,2019,Total supply (petajoules),"6,980"
9,Oceania,2020,Total supply (petajoules),"6,928"
9,Oceania,2021,Total supply (petajoules),"6,777"
9,Oceania,1995,Supply per capita (gigajoules),166
9,Oceania,2000,Supply per capita (gigajoules),177
9,Oceania,2005,Supply per capita (gigajoules),171
9,Oceania,2010,Supply per capita (gigajoules),175
9,Oceania,2015,Supply per capita (gigajoules),164
9,Oceania,2019,Supply per capita (gigajoules),161
9,Oceania,2020,Supply per capita (gigajoules),158
9,Oceania,2021,Supply per capita (gigajoules),152
4,Afghanistan,1995,Primary energy production (petajoules),16
4,Afghanistan,2000,Primary energy production (petajoules),18
4,Afghanistan,2005,Primary energy production (petajoules),23
4,Afghanistan,2010,Primary energy production (petajoules),41
4,Afghanistan,2015,Primary energy production (petajoules),61
4,Afghanistan,2019,Primary energy production (petajoules),82
4,Afghanistan,2020,Primary energy production (petajoules),78
4,Afghanistan,2021,Primary energy production (petajoules),91
4,Afghanistan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),17
4,Afghanistan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),14
4,Afghanistan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),22
4,Afghanistan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),99
4,Afghanistan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),111
4,Afghanistan,2019,Net imports [Imports - Exports - Bunkers] (petajoules),111
4,Afghanistan,2020,Net imports [Imports - Exports - Bunkers] (petajoules),116
4,Afghanistan,2021,Net imports [Imports - Exports - Bunkers] (petajoules),86
4,Afghanistan,1995,Changes in stocks (petajoules),0
4,Afghanistan,2000,Changes in stocks (petajoules),0
4,Afghanistan,2005,Changes in stocks (petajoules),-2
4,Afghanistan,2010,Changes in stocks (petajoules),0
4,Afghanistan,2015,Changes in stocks (petajoules),4
4,Afghanistan,2019,Changes in stocks (petajoules),8
4,Afghanistan,2020,Changes in stocks (petajoules),-1
4,Afghanistan,2021,Changes in stocks (petajoules),-1
4,Afghanistan,1995,Total supply (petajoules),33
4,Afghanistan,2000,Total supply (petajoules),31
4,Afghanistan,2005,Total supply (petajoules),46
4,Afghanistan,2010,Total supply (petajoules),141
4,Afghanistan,2015,Total supply (petajoules),167
