Region/Country/Area,Country/Region Name,Year,Series,Value
1,"Total, all countries or areas",2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5
1,"Total, all countries or areas",2005,Researchers per million inhabitants (FTE),902.4
1,"Total, all countries or areas",2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6
1,"Total, all countries or areas",2010,Researchers per million inhabitants (FTE),"1,009.80"
1,"Total, all countries or areas",2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.7
1,"Total, all countries or areas",2015,Researchers per million inhabitants (FTE),"1,143.10"
1,"Total, all countries or areas",2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.9
1,"Total, all countries or areas",2021,Researchers per million inhabitants (FTE),"1,352.50"
15,Northern Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
15,Northern Africa,2005,Researchers per million inhabitants (FTE),470.8
15,Northern Africa,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
15,Northern Africa,2010,Researchers per million inhabitants (FTE),496.4
15,Northern Africa,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
15,Northern Africa,2015,Researchers per million inhabitants (FTE),686.2
15,Northern Africa,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
15,Northern Africa,2021,Researchers per million inhabitants (FTE),766.8
202,Sub-Saharan Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
202,Sub-Saharan Africa,2005,Researchers per million inhabitants (FTE),70.8
202,Sub-Saharan Africa,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
202,Sub-Saharan Africa,2010,Researchers per million inhabitants (FTE),81.1
202,Sub-Saharan Africa,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
202,Sub-Saharan Africa,2015,Researchers per million inhabitants (FTE),93.7
202,Sub-Saharan Africa,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
202,Sub-Saharan Africa,2021,Researchers per million inhabitants (FTE),95.7
21,Northern America,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.5
21,Northern America,2005,Researchers per million inhabitants (FTE),"3,616.80"
21,Northern America,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.6
21,Northern America,2010,Researchers per million inhabitants (FTE),"3,661.00"
21,Northern America,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.7
21,Northern America,2015,Researchers per million inhabitants (FTE),"3,943.80"
21,Northern America,2021,Gross domestic expenditure on R&D: as a percentage of GDP,3.3
21,Northern America,2021,Researchers per million inhabitants (FTE),"4,513.90"
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
419,Latin America & the Caribbean,2005,Researchers per million inhabitants (FTE),359.1
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
419,Latin America & the Caribbean,2010,Researchers per million inhabitants (FTE),433.2
419,Latin America & the Caribbean,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
419,Latin America & the Caribbean,2015,Researchers per million inhabitants (FTE),529.5
419,Latin America & the Caribbean,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
419,Latin America & the Caribbean,2021,Researchers per million inhabitants (FTE),625.4
143,Central Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
143,Central Asia,2005,Researchers per million inhabitants (FTE),459.6
