Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value
4,Afghanistan,2015,Major trading partner 1 (% of exports),Pakistan,,39.7
4,Afghanistan,2020,Major trading partner 1 (% of exports),Pakistan,,34.3
4,Afghanistan,2023,Major trading partner 1 (% of exports),Pakistan,,46.7
4,Afghanistan,2015,Major trading partner 1 (% of imports),China,,13.5
4,Afghanistan,2020,Major trading partner 1 (% of imports),China,,13.9
4,Afghanistan,2023,Major trading partner 1 (% of imports),China,,19
4,Afghanistan,2015,Major trading partner 2 (% of exports),India,,33.1
4,Afghanistan,2020,Major trading partner 2 (% of exports),India,,47.1
4,Afghanistan,2023,Major trading partner 2 (% of exports),India,,27.6
4,Afghanistan,2015,Major trading partner 2 (% of imports),United Arab Emirates,,4.2
4,Afghanistan,2020,Major trading partner 2 (% of imports),United Arab Emirates,,1.8
4,Afghanistan,2023,Major trading partner 2 (% of imports),United Arab Emirates,,17.4
4,Afghanistan,2015,Major trading partner 3 (% of exports),China,,1.8
4,Afghanistan,2020,Major trading partner 3 (% of exports),China,,3.6
4,Afghanistan,2023,Major trading partner 3 (% of exports),China,,4.6
4,Afghanistan,2015,Major trading partner 3 (% of imports),Pakistan,,17.4
4,Afghanistan,2020,Major trading partner 3 (% of imports),Pakistan,,12.9
4,Afghanistan,2023,Major trading partner 3 (% of imports),Pakistan,,13.2
8,Albania,2015,Major trading partner 1 (% of exports),Italy,,50.9
8,Albania,2020,Major trading partner 1 (% of exports),Italy,,45.3
8,Albania,2023,Major trading partner 1 (% of exports),Italy,,49.5
8,Albania,2015,Major trading partner 1 (% of imports),Italy,,30.3
8,Albania,2020,Major trading partner 1 (% of imports),Italy,,25.2
8,Albania,2023,Major trading partner 1 (% of imports),Italy,,23.4
8,Albania,2015,Major trading partner 2 (% of exports),Serbia,,9.9
8,Albania,2020,Major trading partner 2 (% of exports),Serbia,,12.1
8,Albania,2023,Major trading partner 2 (% of exports),Serbia,,10.2
8,Albania,2015,Major trading partner 2 (% of imports),Türkiye,,8
8,Albania,2020,Major trading partner 2 (% of imports),Türkiye,,9.6
8,Albania,2023,Major trading partner 2 (% of imports),Türkiye,,12
8,Albania,2015,Major trading partner 3 (% of exports),Montenegro,,1.4
8,Albania,2020,Major trading partner 3 (% of exports),Montenegro,,1.8
8,Albania,2023,Major trading partner 3 (% of exports),Montenegro,,7.9
8,Albania,2015,Major trading partner 3 (% of imports),Greece,,7.8
8,Albania,2020,Major trading partner 3 (% of imports),Greece,,9
8,Albania,2023,Major trading partner 3 (% of imports),Greece,,10.1
12,Algeria,2015,Major trading partner 1 (% of exports),Italy,,15.1
12,Algeria,2020,Major trading partner 1 (% of exports),Italy,,16.3
12,Algeria,2023,Major trading partner 1 (% of exports),Italy,,26.5
12,Algeria,2015,Major trading partner 1 (% of imports),China,,15.9
12,Algeria,2020,Major trading partner 1 (% of imports),China,,16.2
12,Algeria,2023,Major trading partner 1 (% of imports),China,,22.4
12,Algeria,2015,Major trading partner 2 (% of exports),France,,13.2
12,Algeria,2020,Major trading partner 2 (% of exports),France,,13.8
12,Algeria,2023,Major trading partner 2 (% of exports),France,,12.7
12,Algeria,2015,Major trading partner 2 (% of imports),France,,10.5
12,Algeria,2020,Major trading partner 2 (% of imports),France,,13.9
12,Algeria,2023,Major trading partner 2 (% of imports),France,,11.1
12,Algeria,2015,Major trading partner 3 (% of exports),Spain,,17.7
12,Algeria,2020,Major trading partner 3 (% of exports),Spain,,13
12,Algeria,2023,Major trading partner 3 (% of exports),Spain,,11.7
12,Algeria,2015,Major trading partner 3 (% of imports),Italy,,9.4
12,Algeria,2020,Major trading partner 3 (% of imports),Italy,,6.4
12,Algeria,2023,Major trading partner 3 (% of imports),Italy,,7.2
20,Andorra,2015,Major trading partner 1 (% of exports),Spain,,57.5
20,Andorra,2020,Major trading partner 1 (% of exports),Spain,,72.5
20,Andorra,2023,Major trading partner 1 (% of exports),Spain,,44
20,Andorra,2015,Major trading partner 1 (% of imports),Spain,,64
20,Andorra,2020,Major trading partner 1 (% of imports),Spain,,72.9
20,Andorra,2023,Major trading partner 1 (% of imports),Spain,,64.6
20,Andorra,2015,Major trading partner 2 (% of exports),"Other Europe, nes",,0.7
20,Andorra,2020,Major trading partner 2 (% of exports),"Other Europe, nes",,1.6
20,Andorra,2023,Major trading partner 2 (% of exports),"Other Europe, nes",,21.9
20,Andorra,2015,Major trading partner 2 (% of imports),France,,15.9
20,Andorra,2020,Major trading partner 2 (% of imports),France,,9.3
20,Andorra,2023,Major trading partner 2 (% of imports),France,,10.7
20,Andorra,2015,Major trading partner 3 (% of exports),France,,19.5
20,Andorra,2020,Major trading partner 3 (% of exports),France,,10.4
20,Andorra,2023,Major trading partner 3 (% of exports),France,,12.5
20,Andorra,2015,Major trading partner 3 (% of imports),Germany,,3.2
20,Andorra,2020,Major trading partner 3 (% of imports),Germany,,3.5
20,Andorra,2023,Major trading partner 3 (% of imports),Germany,,5.6
