Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",79.7
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, rural (Proportion of population with access)",51.3
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, total (Proportion of population with access)",65.9
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.8
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",28.4
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",42.2
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, urban (Proportion of population with access)",80.4
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, rural (Proportion of population with access)",55.9
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, total (Proportion of population with access)",69.1
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",45.7
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.6
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, total (Proportion of population with access)",48.6
1,"Total, all countries or areas",2022,"Safely managed drinking water sources, urban (Proportion of population with access)",81.1
1,"Total, all countries or areas",2022,"Safely managed drinking water sources, rural (Proportion of population with access)",62.2
1,"Total, all countries or areas",2022,"Safely managed drinking water sources, total (Proportion of population with access)",72.9
1,"Total, all countries or areas",2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",49.6
1,"Total, all countries or areas",2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",45.9
1,"Total, all countries or areas",2022,"Safely managed sanitation facilities, total (Proportion of population with access)",56.6
15,Northern Africa,2006,"Safely managed drinking water sources, urban (Proportion of population with access)",78.1
15,Northern Africa,2006,"Safely managed drinking water sources, rural (Proportion of population with access)",57.5
15,Northern Africa,2006,"Safely managed drinking water sources, total (Proportion of population with access)",67.7
15,Northern Africa,2006,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.1
15,Northern Africa,2006,"Safely managed sanitation facilities, rural (Proportion of population with access)",36.4
15,Northern Africa,2006,"Safely managed sanitation facilities, total (Proportion of population with access)",45.4
15,Northern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",80.6
15,Northern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",70.9
